month,AccountID,count,sum
4,79752,113,64882
4,162,1262,8984662
4,169145,799,118251
4,1332,28,22139
4,160744,1131,888762
4,3140,1,1684
4,145623,3,7810
4,74629,2,5400
4,22356,1,3172
4,147038,1,709
4,152193,6,32671
4,78038,8,5980
4,138470,25,3675
4,174406,1,134
4,77445,5,892
3,38251,2829,932019
4,135965,3,1066
4,175657,30,3700
4,87407,72,133892
3,172462,1,6063
3,97692,3064,1267731
4,183146,3,1959
12,97676,1720,916609
12,228141,641,102807
12,192678,50,599000
12,160526,2,683
12,4429,155,73359
12,643,14,18016
12,150,322,1114686
12,73510,362,4237035
12,139003,9,4442
12,162432,29,676065
12,250849,4,3694
12,220593,10,1963
12,95902,3,3119
12,120118,15,744
12,241575,23,11448
12,129960,11,23349
12,109074,60,661343
12,273548,78,3515256
12,200702,5,3071
12,3971,39,23479
12,275391,59,389664
12,32936,33,26025
12,76600,11,4779
12,104588,2,2107
12,80658,6,22194
12,200297,2,18459
12,184399,16,10145
12,130744,4,2279
12,2401,25,471958
12,145903,3,2371
12,221956,1,47
12,249704,10,211370
12,38414,3,534
11,97639,70,40794
12,130908,12,834270
12,88331,1,305
12,167598,6,128313
12,162265,2,17758
12,136864,2,6156
12,182852,10,261132
12,187635,3,3074
12,246646,20,13651
12,85563,2,3561
12,11793,8,3786
12,13224,18,20739
12,154360,8,1027
12,84105,1,430
12,68945,1,51
12,132836,5,2542
12,89099,1,207
12,126394,2,1335
12,65913,8,146805
12,126627,4,857
12,226041,22,18633
12,1299,2,610
12,218471,3,1697
12,208166,2,67085
12,246233,2,26119
12,182988,1,965
12,210988,5,1883
12,254639,1,739
12,185137,2,391
12,236659,1,2561
12,142536,17,22373
12,129394,1,82
12,220592,1,3488
12,143746,3,4274
12,201047,44,44459
12,242204,1,2606
12,212397,17,59673
12,191007,6,2336
12,226344,1,8263
12,292987,6,2979
10,11914,1272,1436365
8,4647,14097,2832917
9,2887,101321,43278003
12,108932,2,5137
9,165926,18981,12704333
11,239431,451,451
12,6464,2,1982
12,141287,1,482
12,152681,1,269
12,137375,3,364
10,224015,588,257292
5,36896,3,6126
5,54996,5,6696
5,154861,24,30968
5,135604,365,114332
5,138235,620,104077
5,74580,3,6877
5,159440,9,2220
5,120118,76,3442
5,157951,373,426999
5,190872,611,498850
5,165926,24905,16927593
5,112268,91,3560194
5,139872,15,2097626
5,145505,48,13335
5,63984,249,468840
5,92953,31,97138
5,108407,91,56446
5,98584,55,24490
5,163282,30,7151
5,161090,773,103835
5,85417,27,83346
5,205570,1,21952
5,107697,39,2149772
5,3971,6,6441
5,92857,20,13417
5,144702,1,4031
1,13445,21488,11792906
5,427,5,28972
5,193104,2,12135
5,191978,192,92940
5,163611,1,6150
5,67324,10,2997
5,184657,19,92587
5,127061,2,492
5,2682,4,4767
5,170264,4,43867
5,55389,1,7353
5,78254,12,54883
5,80857,26,17014
5,120501,8,9627
5,213784,1,19
5,209727,1,618
5,213853,29,21725
4,152489,1,10493
4,75874,500,142726
4,64178,8,18840
4,126163,8,17091
4,33856,31,739932
4,106378,642,197570
4,46338,15,20179
4,115911,545,1743814
4,156359,583,221738
4,7553,105,3693
5,170400,6,10086
4,51420,4,3920
4,156370,2,76126
4,200178,5,76385
4,116092,9,143089
4,12654,2,1381
4,142875,40,251629
4,73238,175,60448
4,180932,2,4952
4,164585,3,13428
4,112043,57,65877
4,104450,1,161
3,178141,8749,4510086
4,112964,1,774
4,1258,8,8190
4,168211,2,887
4,123256,5,1679
4,143846,3,18877
4,100701,8,5990
3,167039,7,6646
4,110775,55,167918
4,104523,32,39078
3,14826,2,80227
3,85340,1,26976
5,201012,570,147316
5,80294,1,43082
5,82213,14,18502
5,196993,4,760
4,186590,30,23722
5,128360,1,315
5,208505,1,35
5,58697,9,6569
5,99745,2,943
5,188918,3,45697
5,182929,1,848
12,122113,1,403
12,113492,2,530
12,237304,1,43
12,231671,1,171
12,115474,3,13621
12,141857,1,209
12,110745,1,3914
5,122154,47,825
5,27695,2,4468
5,4799,1,924
5,99381,1,1346
5,88752,5,4558
5,175058,1,1
6,96098,1886,297184
5,118486,1,2304
5,218780,3,2034
6,211102,194,842987
6,84728,9,6770
6,150,290,1512832
6,32936,60,27918
6,77213,335,30333
6,135946,3,2183
6,92632,2,4049
6,100635,33,6994
3,44628,15,798132
3,105619,2386,979355
3,1712,619,1065032
3,120494,715,105736
3,14871,1,46
3,115842,197,6607
3,4647,1304,181350
3,85046,6,43741
6,182035,190,579231
3,13837,1,12159
3,78761,1,2329
3,142043,4,4940
3,154838,47,10737
3,150,176,1672665
3,98922,620,251731
3,90327,832,204354
3,95771,792,900046
6,153275,69,103467
6,72203,21,85231
6,58332,14,8428
6,75342,16,25896
6,184513,16,10932
6,153994,71,710810
6,172018,2,284
6,88356,5,6657
6,130744,3,1653
6,131051,20,8413
6,83016,25,38900
6,9756,1,1272
6,58432,1,666
6,89800,1,390
6,121542,6,3093
6,156517,22,1267
6,144562,2,736
6,160956,2,361
6,126406,1,1148
6,202904,2,1899
3,8419,37,25460
6,49506,1,2683
6,198324,1,9351
6,162446,2,14399
6,141088,6,40041
6,203813,1,12232
6,133194,1,206
6,6271,3,5109
6,126778,1,3461
6,201058,1,291
6,195946,1,1210
6,218296,4,3086
6,64600,3,8652
6,85289,7,4320
6,120605,1,5992
6,26387,2,1100
6,161692,4,53930
6,61940,1,3760
6,148102,5,89315
6,97988,1,1645
6,220220,1197,610151
6,216590,3,20208
6,75948,5,1298
6,163800,1,286
6,3532,1,651
6,63288,9,24635
6,151678,1,67
3,190641,3,836
4,196211,58,4575
3,158874,146,41954
6,70381,2,2914
5,192131,6,853
12,211052,1,1150
11,179263,4,13353
12,231306,3,3361
12,35635,1,386
3,88356,3,6935
3,97519,5,7781
3,108409,808,1763090
3,97472,12,16489
3,86838,3,2055
2,70137,94,95968
3,51457,5,2813
3,3379,9,6971
3,105322,1,437
3,27968,2,21161
3,163282,48,10189
3,173064,1,322
3,3433,11,9753
3,93315,1,290009
3,84753,19,5364
2,503,2,7304
3,3587,1,8416
3,124144,3,4600
3,76486,25,414290
3,194840,1,1221
3,191667,4,32
3,10518,4,973
3,86347,1,635
3,150796,9,3005
3,191988,8,49219
3,126562,1,1087
3,125570,4,18507
3,157758,1,158
3,156193,6,1632
4,72852,14,386638
4,22717,1,52
4,148593,25,13340
4,160483,5,695
4,84259,22,31186
4,159354,2,50372
4,187717,2,9766
4,47899,1,1
4,51354,1,512
4,72939,23,3011
4,78491,4,4291
4,35635,1,127
4,198737,1,122
4,150575,1,430
4,179352,8,537
4,93556,1,81
3,185911,43,15222
4,148921,3,31532
4,71937,1,426
4,100422,8,7954
4,10684,1,744
4,160741,2,1210
4,59122,1,16776
4,84288,1,499
4,76894,1,173
4,119207,4,3349
4,132227,766,377549
4,136187,2,2414
4,170605,6,3854
4,1767,2,1510
4,82006,1,11
4,176660,2,4870
2,154861,15,27279
2,172060,40,2094
2,105197,10,3513
2,139389,1219,706587
2,13274,65,18114
2,137949,5,159917
2,55908,139,335372
2,143234,9,371240
2,148997,35,164266
2,115842,138,6576
2,120996,497,7528770
2,108410,80,1218088
2,78038,5,2452
2,89093,32,16849
2,175349,3,565
2,38158,126,221817
2,161579,4,12450
2,150448,11,1272751
2,39975,9,528965
2,127061,5,2813
2,110264,71,104520
2,121371,8,10943
2,115363,16,5609
2,143826,5,32504
2,167089,1,279
2,64505,1,975610
2,53953,4,81427
2,27968,1,11440
2,100361,1,125
3,40141,1,248
2,150575,1,725
2,99243,54,49905
3,110561,7,4240
3,144644,1,989
3,2139,3,28238
3,99922,5,2205
3,168084,1,829
2,75079,4,1020
3,59146,4,28837
3,187110,7,53843
5,45276,5,5669
5,143831,10,4560
5,12272,1,59269
5,208469,11,1978759
5,160234,10,4270
5,155059,1,238
3,115160,198,336313
5,130510,153,23141
5,143842,6,26233
12,270016,1,195
12,24400,1,4136
12,237569,2,2223
12,278052,1,693
12,60456,2,496
12,148685,2,2211
12,86512,2,646
5,183270,3,7359
5,186373,2,1297
5,166323,1,8
5,2580,2,10951
5,170871,1,8532
5,63288,5,23647
5,173880,3,4073
5,196115,1,83
5,13545,6,2137
5,24660,8,22707
5,196935,1,1932
5,147414,1,1505
6,161636,9,4505
6,142043,4,3883
6,165859,1375,4145
6,128201,2,1554
6,193161,5,556
6,102680,325,170453
6,83594,1353,651231
6,46459,891,165955
6,73267,1,279
6,48479,213,165643
6,2394,135,356566
6,121670,2,79974
6,55127,1708,10404753
6,3725,154,128475
6,180937,37,25116
6,166213,1,8979
6,95771,379,911487
6,167367,1,7374
6,90818,1025,224681
6,202824,40,6516
6,12571,18,17598
6,199539,6,4028
3,53637,46,67362
3,164168,10,1666
3,98179,9,10511
3,73238,102,59003
3,55547,92,42066
3,159197,9,1943
3,166964,4157,3093953
3,177276,1,951
3,65840,1,13587
3,153463,20,2411
3,120545,582,188928
6,103355,7,89365
6,145505,9,4554
6,93325,2,606132
6,156370,4,162394
6,113908,3,60021
6,102740,21,102630
6,191978,218,216088
6,156275,2,17998
6,186707,2,4167
6,39561,13,17582
6,152368,2,467
6,201482,4,1216
6,213052,8,2458
6,64427,1,1933
6,36233,33,2896
6,137811,17,9112
6,225356,971,176333
6,191225,6,6601
6,190625,93,1676
6,143877,2,2850
6,103777,1,261
6,130908,3,286131
6,213555,3,49118
6,181189,2,3709
2,76362,64,802911
6,75045,1,780
6,141092,20,149059
6,201863,14,2322
6,201224,1,1279
6,221468,1,5
6,142618,1,84973
6,3587,71,115385
6,136495,1,666
6,129415,1,336
6,191288,1,14838
6,3343,7,6085
6,203763,1,711
6,79898,1,13
6,146466,13,22626
6,195173,1,442
6,226930,2,870
6,212418,2,4854
2,185559,2,468
12,149109,2,1036
6,49477,3,11633
6,105255,1,1
1,163566,383,129903
7,15315,7743,10683885
3,193525,39,15565
3,145520,10,9406
9,1712,777,1338970
4,114177,57,24702
12,76142,1,20659
3,159070,22,65149
3,169614,1,7170
3,161636,11,9876
3,87166,220,13889
3,179263,11,41638
3,85224,5,12070
3,138470,14,3329
3,181037,8,9410
3,39561,5,10540
3,74629,3,1551
3,8111,2,30652
3,72332,3,4333
3,122389,1,10
3,80941,64,67019
3,120083,7,5697
3,73942,1,871
3,158850,3,52268
3,74580,4,8225
3,168468,3,1029
3,153929,6,1070
4,105197,8,3097
4,183937,34,558830
4,99999,6,1898
4,141987,1,6098
4,129258,3,403
4,289,465,1209836
4,179263,16,22369
4,69758,1,8
4,146995,1,55
4,78864,1,481
4,188129,12,44391
4,126660,5,3445
4,89948,4,94221
4,39561,4,13759
4,187965,2,668
4,167298,1,509
4,161579,3,10043
4,4675,2,2352
4,153756,2,2805
4,478,2,3457
4,80305,1,610
4,15315,9214,6628577
4,141528,1,2028
4,24789,2,3075
4,107817,6,9191
4,126884,1,134
4,139797,1,51452
4,150058,1,1
4,43700,3,2523
4,165025,1,465
4,146456,1,1400
4,8044,4,5310
4,192374,1,2186
4,181618,1,23
4,200185,3,15822
2,165313,10526,2496215
2,151631,2,32
2,119990,351,669055
2,135522,2038,1533230
2,150069,36,25966
2,32175,71,274961
2,89463,1317,537859
2,140198,16,1101
2,162701,11,8023
2,52437,28,7014
2,92953,12,67977
2,1401,8,26715
2,129507,153,8700
2,150892,2,1198
2,150766,13,87789
2,131663,3,5334
5,143050,4,475
5,219414,1,13
5,186312,1,1033
6,188521,28088,4951476
6,8773,2,1623
6,91235,8,2427
6,211091,295,1400618
6,144110,427,301162
6,14323,252,4832981
6,74983,1563,365152
6,100690,17,85060
6,27972,220,132115
6,161579,20,75722
6,134220,5,103106
6,183615,381,353445
6,202817,12,21259
6,181304,18,3590
3,85533,791,349095
3,148720,50,81541
3,119742,2044,626007
3,39550,1,8203
3,132702,195,26538
3,112663,450,173062
3,148997,94,275649
3,85472,56,31918
3,32175,223,357503
3,171937,1,5363
3,159515,1,1828
3,118045,5,43
3,1747,12,14903
3,29502,21,240733
3,50842,136,28396
3,5327,175,51148
3,186050,2760,2144402
3,127582,1,43113
3,106620,4,157
3,91235,3,1367
3,126163,12,16488
3,128698,1,4281
3,70330,11,11000
3,153225,14,11966
3,35113,57,207576
3,185259,119,27837
3,102680,458,329073
6,13274,69,18947
6,63973,1,7234
6,30010,1,964
6,194401,18,18084
6,85757,2,2485
6,98922,150,59294
6,139941,1,602
6,125430,2,37634
6,56731,1,1817
6,185338,6,242869
6,176301,9,11205
6,189266,2,1968
6,195229,1,165
6,165399,1,9696
6,193628,2,1794
6,387,3,8290
6,103117,1,164243
6,171547,18,22482
6,176307,19,76201
6,185962,1,1745
2,180343,4,3397
6,163883,4,25148
6,57517,1,908
6,99922,6,1599
6,96081,21,40896
6,184213,1,2431
6,224618,20,21874
6,141958,1,5433
6,171555,50,103616
6,129694,4,3845
6,4438,1,2693
6,478,2,1810
6,100064,2,1007
6,100250,2,956
6,224717,1,169
6,1367,1,36000
6,207141,4,6432
6,104893,1,531
6,70330,12,8768
6,67288,1,2381
6,142935,322,833874
6,155656,2,1438
6,13837,1,27837
6,48358,1,1220
2,149588,30,9552
1,1046,2746,6611974
5,208244,7,1741
11,637,180,1327620
3,145945,1,567
3,114127,12,5535
3,163788,26,13425
3,155962,11,68084
3,128332,12,4160
3,54946,5,2176
3,169220,6,2908
3,7178,7,17389
3,130250,20,23423
2,102981,36,96910
3,103355,2,60700
3,10858,2,1595
3,131862,7,886
3,150766,14,51280
3,93325,1,485660
3,69425,1,27
4,11933,2,1737
4,148059,44,13599
4,147373,1,34557
4,158483,13,23716
4,128698,2,3524
4,147670,1,2351
4,80941,37,55728
4,33967,2,1243
4,171547,16,21437
4,159515,1,2532
4,195758,1,340
4,196251,2,5471
4,102732,1,358
4,52652,4,74918
4,70171,1,1471
4,126240,2,9033
4,194603,2,8
4,183688,2,320
4,153022,1,2393
4,4438,3,5010
4,106817,2,56
4,55700,1,891
2,130510,64,5506
2,70251,4793,4306994
2,92563,7652,2081587
2,161921,1766,1819413
2,50842,62,21705
2,46643,21858,16632860
2,60972,6,11699
2,97505,306,531349
2,170574,1,26
2,84259,25,32982
2,92247,5,261887
2,152223,1,24
2,181975,1,1487
3,154737,1,17014
2,31162,2,5278
2,114410,10,7139
2,150028,7,27250
2,137090,3,32125
3,28967,1,34
2,8044,3,7352
2,108719,11,1168
2,157747,1,165
3,100250,6,4249
3,150892,3,2479
3,100574,12,6778
3,128947,1,287
3,137144,2,774
3,108507,1,921
3,182232,2,641
3,143495,4,420
3,115144,1,820
3,159508,3,10859
3,191311,2,1240
3,95980,10,3873
3,102237,2,8961
3,643,7,7499
12,214876,2,36083
12,90643,1,1208
12,155047,1,1615
12,294097,2,19349
12,209275,1,3422
12,185280,1,2
12,126163,12,16380
12,206795,1,418
1,2480,69,483684
1,33295,22,22911
1,49666,5,14331
1,99337,367,476285
1,159572,2775,2141085
1,128845,873,212481
1,32823,351,168637
1,165731,33,98420
1,27855,77,3752
1,29774,111,82206
1,102132,96,86978
3,60500,1,185
1,120057,557,3223368
3,186207,2,196
3,103117,1,7207
12,212882,1,13365
12,227232,1,51
12,233189,2,40873
12,12314,1,15
12,238231,1,171
12,19289,1,87
1,361,32,60834
1,25483,21,61674
1,85533,1066,539975
1,146460,856,324653
1,120996,111,1607121
1,95186,25,54566
1,100412,4,17510
1,38199,1322,635545
1,154211,466,1802060
1,150765,370,1480819
1,148720,52,84076
1,55080,3,1564
1,128034,2,855
1,113601,5,5231
1,1063,7,5064
1,97299,8,3136
1,62589,1,168
1,142376,2,3725
1,120926,6,4939
1,102631,13,36327
1,105214,5,6947
1,149072,3,677
1,85,21,21351
1,110979,5,4595
1,2250,4,7167
1,143473,2,136
1,130674,14,3681
1,160562,1,2069
1,105575,61,36993
1,85016,4,2222
1,92943,1,1221
1,73859,1,8
1,115144,2,2053
1,170228,107,47016
1,45429,3,4099
1,60713,3,911
1,73393,2,5136
12,149728,1,109
12,169581,2,993
12,3353,2,248
12,211160,1,8
12,51910,1,141
1,1054,1,7862
1,170599,42,47416
1,85189,1,196
1,120410,2,4302
1,38817,1,1044
1,154048,2,469
1,167266,54,26926
1,114159,1,558
1,146036,1,1
1,147575,1,1825
1,6464,3,2935
1,27903,1,1894
1,38051,5,6659
1,159654,12,2478
1,142705,4,3350
1,154840,2,653
1,124513,2,5540
1,141991,1,657
1,93950,1,244
1,105935,1,939
1,150417,12,2487
2,74302,9,34958
2,113645,6,10872
2,110561,6,3495
2,104504,10,11124
2,178425,3,73368
2,129633,3,1913
2,445,1,511
2,10591,1,4051
2,59799,1,1865
2,111903,2,2096
2,93315,1,206097
2,117124,3,732
2,114083,1,4592
2,49224,2,1088
2,145438,4,1430
2,142862,5,8351
2,180940,2,2535
2,114071,3,810
10,289,507,596832
4,187145,1,3
11,242093,266,11039116
12,286684,1,595
12,217117,1,399
12,247397,2,3794
1,150769,26,547
1,65209,1,5793
1,147244,1,4560
1,128078,1,844
1,101634,1,226
1,131692,1,2066
12,52260,1,2654
12,140935,2,731
12,290208,1,8
1,169073,1,55
1,143281,2,32274
2,112587,1,571
2,109140,1,211
2,85340,1,18947
1,2000,3,10299
2,60228,1,1248
